"Date","US_IP","US_IP_gr"
1993-10-01,65.62479,1.54804748364494
1994-01-01,66.43562,1.22798375232511
1994-04-01,67.64616,1.80572318263668
1994-07-01,68.50744,1.26517622526006
1994-10-01,69.90004,2.01238689767802
1995-01-01,70.62984,1.03864966062499
1995-04-01,70.84594,0.305494223910063
1995-07-01,71.532,0.963724169477231
1995-10-01,72.10753,0.801357509198297
1996-01-01,72.60908,0.69315057630428
1996-04-01,74.1664,2.12212345452878
1996-07-01,75.12588,1.28538891709793
1996-10-01,76.15809,1.3646204790037
1997-01-01,77.60485,1.88186138490103
1997-04-01,78.71947,1.42605947616268
1997-07-01,80.55857,2.30939775102179
1997-10-01,82.59933,2.50170716059159
1998-01-01,83.53495,1.1263538044167
1998-04-01,84.08977,0.661981151830471
1998-07-01,84.72841,0.756604586755572
1998-10-01,85.89976,1.37300704959396
1999-01-01,86.85987,1.11150954044046
1999-04-01,87.68325,0.943475867433374
1999-07-01,88.47782,0.902101001555344
1999-10-01,90.05351,1.76521500735438
2000-01-01,90.95035,0.990970401731328
2000-04-01,92.06549,1.21864184066309
2000-07-01,91.99256,-0.0792467417933373
2000-10-01,91.74184,-0.272915856388334
2001-01-01,90.61341,-1.2376330308733
2001-04-01,89.46364,-1.27699295882433
2001-07-01,88.23175,-1.38654101921274
2001-10-01,87.26623,-1.10033145852553
2002-01-01,87.91088,0.736001307526735
2002-04-01,89.26849,1.53249960204462
2002-07-01,89.81931,0.615141552818255
2002-10-01,89.77321,-0.0513384421718222
2003-01-01,90.33493,0.623760615449864
2003-04-01,89.66272,-0.746913223697998
2003-07-01,90.25784,0.661538815096385
2003-10-01,91.13046,0.962164298318058
2004-01-01,91.77399,0.703681791733679
2004-04-01,92.30554,0.577523722941109
2004-07-01,92.82437,0.560505169934356
2004-10-01,94.14078,1.40821083954643
2005-01-01,95.45325,1.38452773616766
2005-04-01,95.99039,0.561148345787821
2005-07-01,95.58202,-0.426335523524468
2005-10-01,96.45457,0.9087393237321
2006-01-01,97.37513,0.949871894246179
2006-04-01,97.94563,0.584168956105291
2006-07-01,98.33781,0.39960632631848
2006-10-01,98.57661,0.242542031269188
2007-01-01,99.58523,1.01798480494617
2007-04-01,100.7346,1.14754751241337
2007-07-01,100.8186,0.083352687889171
2007-10-01,101.1431,0.321348334109928
2008-01-01,100.8923,-0.248273449926995
